FIPS,POPCENSUS2010,POPESTIMATE2019,STATE,COUNTY
17195,58498,55175,Illinois,Whiteside County
17197,677560,690743,Illinois,Will County
17199,66357,66597,Illinois,Williamson County
17201,295266,282572,Illinois,Winnebago County
17203,38664,38459,Illinois,Woodford County
18001,34387,35777,Indiana,Adams County
18003,355329,379299,Indiana,Allen County
18005,76794,83779,Indiana,Bartholomew County
18007,8854,8748,Indiana,Benton County
18009,12766,11758,Indiana,Blackford County
18011,56640,67843,Indiana,Boone County
18013,15242,15092,Indiana,Brown County
18015,20155,20257,Indiana,Carroll County
18017,38966,37689,Indiana,Cass County
18019,110232,118302,Indiana,Clark County
18021,26890,26225,Indiana,Clay County
18023,33224,32399,Indiana,Clinton County
18025,10713,10577,Indiana,Crawford County
18027,31648,33351,Indiana,Daviess County
18029,50047,49458,Indiana,Dearborn County
18031,25740,26559,Indiana,Decatur County
18033,42223,43475,Indiana,DeKalb County
18035,117671,114135,Indiana,Delaware County
18037,41889,42736,Indiana,Dubois County
18039,197559,206341,Indiana,Elkhart County
18041,24277,23102,Indiana,Fayette County
18043,74578,78522,Indiana,Floyd County
18045,17240,16346,Indiana,Fountain County
18047,23087,22758,Indiana,Franklin County
18049,20836,19974,Indiana,Fulton County
18051,33503,33659,Indiana,Gibson County
18053,70061,65769,Indiana,Grant County
18055,33165,31922,Indiana,Greene County
18057,274569,338011,Indiana,Hamilton County
18059,70002,78168,Indiana,Hancock County
18061,39364,40515,Indiana,Harrison County
18063,145448,170311,Indiana,Hendricks County
18065,49462,47972,Indiana,Henry County
18067,82752,82544,Indiana,Howard County
18069,37124,36520,Indiana,Huntington County
18071,42376,44231,Indiana,Jackson County
18073,33478,33562,Indiana,Jasper County
18075,21253,20436,Indiana,Jay County
18077,32428,32308,Indiana,Jefferson County
18079,28525,27735,Indiana,Jennings County
18081,139654,158167,Indiana,Johnson County
18083,38440,36594,Indiana,Knox County
18085,77358,79456,Indiana,Kosciusko County
18087,37128,39614,Indiana,LaGrange County
18089,496005,485493,Indiana,Lake County
18091,111467,109888,Indiana,LaPorte County
18093,46134,45370,Indiana,Lawrence County
18095,131636,129569,Indiana,Madison County
18097,903393,964582,Indiana,Marion County
18099,47051,46258,Indiana,Marshall County
18101,10334,10255,Indiana,Martin County
18103,36903,35516,Indiana,Miami County
18105,137974,148431,Indiana,Monroe County
18107,38124,38338,Indiana,Montgomery County
18109,68894,70489,Indiana,Morgan County
18111,14244,13984,Indiana,Newton County
18113,47536,47744,Indiana,Noble County
18115,6128,5875,Indiana,Ohio County
18117,19840,19646,Indiana,Orange County
18119,21575,20799,Indiana,Owen County
18121,17339,16937,Indiana,Parke County
18123,19338,19169,Indiana,Perry County
18125,12845,12389,Indiana,Pike County
18127,164343,170389,Indiana,Porter County
18129,25910,25427,Indiana,Posey County
18131,13402,12353,Indiana,Pulaski County
18133,37963,37576,Indiana,Putnam County
18135,26171,24665,Indiana,Randolph County
18137,28818,28324,Indiana,Ripley County
18139,17392,16581,Indiana,Rush County
18141,266931,271826,Indiana,St. Joseph County
18143,24181,23873,Indiana,Scott County
18145,44436,44729,Indiana,Shelby County
18147,20952,20277,Indiana,Spencer County
18149,23363,22995,Indiana,Starke County
18151,34185,34594,Indiana,Steuben County
18153,21475,20669,Indiana,Sullivan County
18155,10613,10751,Indiana,Switzerland County
18157,172780,195732,Indiana,Tippecanoe County
18159,15936,15148,Indiana,Tipton County
18161,7516,7054,Indiana,Union County
18163,179703,181451,Indiana,Vanderburgh County
18165,16212,15498,Indiana,Vermillion County
18167,107848,107038,Indiana,Vigo County
18169,32888,30996,Indiana,Wabash County
18171,8508,8265,Indiana,Warren County
18173,59689,62998,Indiana,Warrick County
18175,28262,28036,Indiana,Washington County
18177,68917,65884,Indiana,Wayne County
18179,27636,28296,Indiana,Wells County
18181,24643,24102,Indiana,White County
18183,33292,33964,Indiana,Whitley County
19001,7682,7152,Iowa,Adair County
19003,4029,3602,Iowa,Adams County
19005,14330,13687,Iowa,Allamakee County
19007,12887,12426,Iowa,Appanoose County
19009,6119,5496,Iowa,Audubon County
19011,26076,25645,Iowa,Benton County
19013,131090,131228,Iowa,Black Hawk County
19015,26306,26234,Iowa,Boone County
19017,24276,25062,Iowa,Bremer County
19019,20958,21175,Iowa,Buchanan County
19021,20260,19620,Iowa,Buena Vista County
19023,14867,14439,Iowa,Butler County
19025,9670,9668,Iowa,Calhoun County
19027,20816,20165,Iowa,Carroll County
19029,13956,12836,Iowa,Cass County
19031,18499,18627,Iowa,Cedar County
19033,44151,42450,Iowa,Cerro Gordo County
19035,12072,11235,Iowa,Cherokee County
19037,12439,11933,Iowa,Chickasaw County
19039,9286,9395,Iowa,Clarke County
19041,16667,16016,Iowa,Clay County
19043,18129,17549,Iowa,Clayton County
19045,49116,46429,Iowa,Clinton County
19047,17096,16820,Iowa,Crawford County
19049,66135,93453,Iowa,Dallas County
19051,8753,9000,Iowa,Davis County
19053,8457,7870,Iowa,Decatur County
19055,17764,17011,Iowa,Delaware County
19057,40325,38967,Iowa,Des Moines County
19059,16667,17258,Iowa,Dickinson County
19061,93653,97311,Iowa,Dubuque County
19063,10302,9208,Iowa,Emmet County
19065,20880,19650,Iowa,Fayette County
19067,16303,15642,Iowa,Floyd County
19069,10680,10070,Iowa,Franklin County
19071,7441,6960,Iowa,Fremont County
19073,9336,8888,Iowa,Greene County
19075,12453,12232,Iowa,Grundy County
19077,10954,10689,Iowa,Guthrie County
19079,15673,14773,Iowa,Hamilton County
19081,11341,10630,Iowa,Hancock County
19083,17534,16846,Iowa,Hardin County
19085,14928,14049,Iowa,Harrison County
19087,20145,19954,Iowa,Henry County
19089,9566,9158,Iowa,Howard County
19091,9815,9558,Iowa,Humboldt County
19093,7089,6860,Iowa,Ida County
19095,16355,16184,Iowa,Iowa County
19097,19848,19439,Iowa,Jackson County
19099,36842,37185,Iowa,Jasper County
19101,16843,18295,Iowa,Jefferson County
19103,130882,151140,Iowa,Johnson County
19105,20638,20681,Iowa,Jones County
19107,10511,10246,Iowa,Keokuk County
19109,15543,14813,Iowa,Kossuth County
19111,35862,33657,Iowa,Lee County
19113,211226,226706,Iowa,Linn County
19115,11387,11035,Iowa,Louisa County
19117,8898,8600,Iowa,Lucas County
19119,11581,11755,Iowa,Lyon County
19121,15679,16338,Iowa,Madison County
19123,22381,22095,Iowa,Mahaska County
19125,33309,33253,Iowa,Marion County
19127,40648,39369,Iowa,Marshall County
19129,15059,15109,Iowa,Mills County
19131,10776,10586,Iowa,Mitchell County
19133,9243,8615,Iowa,Monona County
19135,7970,7707,Iowa,Monroe County
19137,10740,9917,Iowa,Montgomery County
19139,42745,42664,Iowa,Muscatine County
19141,14398,13753,Iowa,O'Brien County
19143,6462,5958,Iowa,Osceola County
19145,15932,15107,Iowa,Page County
19147,9421,8886,Iowa,Palo Alto County
19149,24986,25177,Iowa,Plymouth County
19151,7310,6619,Iowa,Pocahontas County
19153,430640,490161,Iowa,Polk County
19155,93158,93206,Iowa,Pottawattamie County
19157,18914,18504,Iowa,Poweshiek County
19159,5131,4894,Iowa,Ringgold County
19161,10350,9721,Iowa,Sac County
19163,165224,172943,Iowa,Scott County
19165,12167,11454,Iowa,Shelby County
19167,33704,34855,Iowa,Sioux County
19169,89542,97117,Iowa,Story County
19171,17767,16854,Iowa,Tama County
19173,6317,6121,Iowa,Taylor County
19175,12534,12241,Iowa,Union County
19177,7570,7044,Iowa,Van Buren County
19179,35625,34969,Iowa,Wapello County
19181,46225,51466,Iowa,Warren County
19183,21704,21965,Iowa,Washington County
19185,6403,6441,Iowa,Wayne County
19187,38013,35904,Iowa,Webster County
19189,10866,10354,Iowa,Winnebago County
19191,21056,19991,Iowa,Winneshiek County
19193,102172,103107,Iowa,Woodbury County
19195,7598,7381,Iowa,Worth County
19197,13229,12562,Iowa,Wright County
20001,13371,12369,Kansas,Allen County
20003,8102,7858,Kansas,Anderson County
20005,16924,16073,Kansas,Atchison County
20007,4861,4427,Kansas,Barber County
20009,27674,25779,Kansas,Barton County
20011,15173,14534,Kansas,Bourbon County
20013,9984,9564,Kansas,Brown County
20015,65880,66911,Kansas,Butler County
20017,2790,2648,Kansas,Chase County
20019,3669,3250,Kansas,Chautauqua County
20021,21603,19939,Kansas,Cherokee County
20023,2726,2657,Kansas,Cheyenne County
20025,2215,1994,Kansas,Clark County
20027,8535,8002,Kansas,Clay County
20029,9533,8786,Kansas,Cloud County
20031,8601,8179,Kansas,Coffey County
20033,1891,1700,Kansas,Comanche County
20035,36311,34908,Kansas,Cowley County
20037,39134,38818,Kansas,Crawford County
20039,2961,2827,Kansas,Decatur County
20041,19754,18466,Kansas,Dickinson County
20043,7945,7600,Kansas,Doniphan County
20045,110826,122259,Kansas,Douglas County
20047,3037,2798,Kansas,Edwards County
20049,2882,2530,Kansas,Elk County
20051,28452,28553,Kansas,Ellis County
20053,6497,6102,Kansas,Ellsworth County
20055,36776,36467,Kansas,Finney County
20057,33848,33619,Kansas,Ford County
20059,25992,25544,Kansas,Franklin County
20061,34362,31670,Kansas,Geary County
20063,2695,2636,Kansas,Gove County
20065,2597,2482,Kansas,Graham County
20067,7829,7150,Kansas,Grant County
20069,6006,5988,Kansas,Gray County
20071,1247,1232,Kansas,Greeley County
20073,6689,5982,Kansas,Greenwood County
20075,2690,2539,Kansas,Hamilton County
20077,6034,5436,Kansas,Harper County
20079,34684,34429,Kansas,Harvey County
20081,4256,3968,Kansas,Haskell County
20083,1916,1794,Kansas,Hodgeman County
20085,13462,13171,Kansas,Jackson County
20087,19126,19043,Kansas,Jefferson County
20089,3077,2879,Kansas,Jewell County
20091,544179,602401,Kansas,Johnson County
20093,3977,3838,Kansas,Kearny County
20095,7858,7152,Kansas,Kingman County
20097,2553,2475,Kansas,Kiowa County
20099,21607,19618,Kansas,Labette County
20101,1750,1535,Kansas,Lane County
20103,76227,81758,Kansas,Leavenworth County
20105,3241,2962,Kansas,Lincoln County
20107,9656,9703,Kansas,Linn County
20109,2756,2794,Kansas,Logan County
20111,33690,33195,Kansas,Lyon County
20113,29180,28542,Kansas,McPherson County
20115,12660,11884,Kansas,Marion County
20117,10117,9707,Kansas,Marshall County
20119,4575,4033,Kansas,Meade County
20121,32787,34237,Kansas,Miami County
20123,6373,5979,Kansas,Mitchell County
20125,35471,31829,Kansas,Montgomery County
20127,5923,5620,Kansas,Morris County
20129,3233,2587,Kansas,Morton County
20131,10178,10231,Kansas,Nemaha County
20133,16512,16007,Kansas,Neosho County
20135,3107,2750,Kansas,Ness County
20137,5671,5361,Kansas,Norton County
20139,16295,15949,Kansas,Osage County
20141,3858,3421,Kansas,Osborne County
20143,6091,5704,Kansas,Ottawa County
20145,6973,6414,Kansas,Pawnee County
20147,5642,5234,Kansas,Phillips County
20149,21604,24383,Kansas,Pottawatomie County
20151,9656,9164,Kansas,Pratt County
20153,2519,2530,Kansas,Rawlins County
20155,64511,61998,Kansas,Reno County
20157,4980,4636,Kansas,Republic County
20159,10083,9537,Kansas,Rice County
20161,71115,74232,Kansas,Riley County
20163,5181,4920,Kansas,Rooks County
20165,3307,3036,Kansas,Rush County
20167,6970,6856,Kansas,Russell County
20169,55606,54224,Kansas,Saline County
20171,4936,4823,Kansas,Scott County
20173,498365,516042,Kansas,Sedgwick County
20175,22952,21428,Kansas,Seward County
20177,177934,176875,Kansas,Shawnee County
20179,2556,2521,Kansas,Sheridan County
20181,6010,5917,Kansas,Sherman County
20183,3853,3583,Kansas,Smith County
20185,4437,4156,Kansas,Stafford County
20187,2235,2006,Kansas,Stanton County
20189,5724,5485,Kansas,Stevens County
20191,24132,22836,Kansas,Sumner County
20193,7900,7777,Kansas,Thomas County
20195,3001,2803,Kansas,Trego County
20197,7053,6931,Kansas,Wabaunsee County
20199,1485,1518,Kansas,Wallace County
20201,5799,5406,Kansas,Washington County
20203,2234,2119,Kansas,Wichita County
20205,9409,8525,Kansas,Wilson County
20207,3309,3138,Kansas,Woodson County
20209,157505,165429,Kansas,Wyandotte County
21001,18656,19202,Kentucky,Adair County
21003,19956,21315,Kentucky,Allen County
21005,21421,22747,Kentucky,Anderson County
21007,8249,7888,Kentucky,Ballard County
21009,42173,44249,Kentucky,Barren County
21011,11591,12500,Kentucky,Bath County
21013,28691,26032,Kentucky,Bell County
21015,118811,133581,Kentucky,Boone County
21017,19985,19788,Kentucky,Bourbon County
21019,49542,46718,Kentucky,Boyd County
21021,28432,30060,Kentucky,Boyle County
21023,8488,8303,Kentucky,Bracken County
21025,13878,12630,Kentucky,Breathitt County
21027,20059,20477,Kentucky,Breckinridge County
21029,74319,81676,Kentucky,Bullitt County
21031,12690,12879,Kentucky,Butler County
21033,12984,12747,Kentucky,Caldwell County
21035,37191,39001,Kentucky,Calloway County
21037,90336,93584,Kentucky,Campbell County
21039,5104,4760,Kentucky,Carlisle County
21041,10811,10631,Kentucky,Carroll County
21043,27720,26797,Kentucky,Carter County
21045,15955,16159,Kentucky,Casey County
21047,73955,70461,Kentucky,Christian County
21049,35613,36263,Kentucky,Clark County
21051,21730,19901,Kentucky,Clay County
21053,10272,10218,Kentucky,Clinton County
21055,9315,8806,Kentucky,Crittenden County
21057,6856,6614,Kentucky,Cumberland County
21059,96656,101511,Kentucky,Daviess County
21061,12161,12150,Kentucky,Edmonson County
21063,7852,7517,Kentucky,Elliott County
21065,14672,14106,Kentucky,Estill County
21067,295803,323152,Kentucky,Fayette County
21069,14348,14581,Kentucky,Fleming County
21071,39451,35589,Kentucky,Floyd County
21073,49285,50991,Kentucky,Franklin County
21075,6813,5969,Kentucky,Fulton County
21077,8589,8869,Kentucky,Gallatin County
21079,16912,17666,Kentucky,Garrard County
21081,24662,25069,Kentucky,Grant County
21083,37121,37266,Kentucky,Graves County
21085,25746,26427,Kentucky,Grayson County
21087,11258,10941,Kentucky,Green County
21089,36910,35098,Kentucky,Greenup County
21091,8565,8722,Kentucky,Hancock County
21093,105543,110958,Kentucky,Hardin County
21095,29278,26010,Kentucky,Harlan County
21097,18846,18886,Kentucky,Harrison County
21099,18199,19035,Kentucky,Hart County
21101,46250,45210,Kentucky,Henderson County
21103,15416,16126,Kentucky,Henry County
21105,4902,4380,Kentucky,Hickman County
21107,46920,44686,Kentucky,Hopkins County
21109,13494,13329,Kentucky,Jackson County
21111,741096,766757,Kentucky,Jefferson County
21113,48586,54115,Kentucky,Jessamine County
21115,23356,22188,Kentucky,Johnson County
21117,159720,166998,Kentucky,Kenton County
21119,16346,14806,Kentucky,Knott County
21121,31883,31145,Kentucky,Knox County
21123,14193,14398,Kentucky,Larue County
21125,58849,60813,Kentucky,Laurel County
21127,15860,15317,Kentucky,Lawrence County
21129,7887,7403,Kentucky,Lee County
21131,11310,9877,Kentucky,Leslie County
21133,24519,21553,Kentucky,Letcher County
21135,13870,13275,Kentucky,Lewis County
21137,24742,24549,Kentucky,Lincoln County
21139,9519,9194,Kentucky,Livingston County
21141,26835,27102,Kentucky,Logan County
21143,8314,8210,Kentucky,Lyon County
21145,65565,65418,Kentucky,McCracken County
21147,18306,17231,Kentucky,McCreary County
21149,9531,9207,Kentucky,McLean County
21151,82916,92987,Kentucky,Madison County
21153,13333,12161,Kentucky,Magoffin County
21155,19820,19273,Kentucky,Marion County
21157,31448,31100,Kentucky,Marshall County
21159,12929,11195,Kentucky,Martin County
21161,17490,17070,Kentucky,Mason County
21163,28602,28572,Kentucky,Meade County
21165,6306,6489,Kentucky,Menifee County
21167,21331,21933,Kentucky,Mercer County
21169,10099,10071,Kentucky,Metcalfe County
21171,10963,10650,Kentucky,Monroe County
21173,26499,28157,Kentucky,Montgomery County
21175,13923,13309,Kentucky,Morgan County
21177,31499,30622,Kentucky,Muhlenberg County
21179,43437,46233,Kentucky,Nelson County
21181,7135,7269,Kentucky,Nicholas County
21183,23842,23994,Kentucky,Ohio County
21185,60316,66799,Kentucky,Oldham County
21187,10841,10901,Kentucky,Owen County
21189,4755,4415,Kentucky,Owsley County
21191,14877,14590,Kentucky,Pendleton County
21193,28712,25758,Kentucky,Perry County
21195,65024,57876,Kentucky,Pike County
21197,12613,12359,Kentucky,Powell County
21199,63063,64979,Kentucky,Pulaski County
21201,2282,2108,Kentucky,Robertson County
21203,17056,16695,Kentucky,Rockcastle County
21205,23333,24460,Kentucky,Rowan County
21207,17565,17923,Kentucky,Russell County
21209,47173,57004,Kentucky,Scott County
21211,42074,49024,Kentucky,Shelby County
21213,17327,18572,Kentucky,Simpson County
21215,17061,19351,Kentucky,Spencer County
21217,24512,25769,Kentucky,Taylor County
21219,12460,12294,Kentucky,Todd County
21221,14339,14651,Kentucky,Trigg County
21223,8809,8471,Kentucky,Trimble County
21225,15007,14381,Kentucky,Union County
21227,113792,132896,Kentucky,Warren County
21229,11717,12095,Kentucky,Washington County
21231,20813,20333,Kentucky,Wayne County
21233,13621,12942,Kentucky,Webster County
21235,35637,36264,Kentucky,Whitley County
21237,7355,7157,Kentucky,Wolfe County
21239,24939,26734,Kentucky,Woodford County
22001,61773,62045,Louisiana,Acadia Parish
22003,25764,25627,Louisiana,Allen Parish
22005,107215,126604,Louisiana,Ascension Parish
22007,23421,21891,Louisiana,Assumption Parish
22009,42073,40144,Louisiana,Avoyelles Parish
22011,35654,37497,Louisiana,Beauregard Parish
22013,14353,13241,Louisiana,Bienville Parish
22015,116979,127039,Louisiana,Bossier Parish
22017,254969,240204,Louisiana,Caddo Parish
22019,192768,203436,Louisiana,Calcasieu Parish
22021,10132,9918,Louisiana,Caldwell Parish
22023,6839,6973,Louisiana,Cameron Parish
22025,10407,9494,Louisiana,Catahoula Parish
22027,17195,15670,Louisiana,Claiborne Parish
22029,20822,19259,Louisiana,Concordia Parish
22031,26656,27463,Louisiana,De Soto Parish
22033,440171,440059,Louisiana,East Baton Rouge Parish
22035,7759,6861,Louisiana,East Carroll Parish
22037,20267,19135,Louisiana,East Feliciana Parish
22039,33984,33395,Louisiana,Evangeline Parish
22041,20767,20015,Louisiana,Franklin Parish
22043,22309,22389,Louisiana,Grant Parish
22045,73240,69830,Louisiana,Iberia Parish
22047,33387,32511,Louisiana,Iberville Parish
22049,16274,15744,Louisiana,Jackson Parish
22051,432552,432493,Louisiana,Jefferson Parish
22053,31594,31368,Louisiana,Jefferson Davis Parish
22055,221578,244390,Louisiana,Lafayette Parish
22057,96318,97614,Louisiana,Lafourche Parish
22059,14890,14892,Louisiana,LaSalle Parish
22061,46735,46742,Louisiana,Lincoln Parish
22063,128026,140789,Louisiana,Livingston Parish
22065,12093,10951,Louisiana,Madison Parish
22067,27979,24874,Louisiana,Morehouse Parish
22069,39566,38158,Louisiana,Natchitoches Parish
22071,343829,390144,Louisiana,Orleans Parish
22073,153720,153279,Louisiana,Ouachita Parish
22075,23042,23197,Louisiana,Plaquemines Parish
22077,22802,21730,Louisiana,Pointe Coupee Parish
22079,131613,129648,Louisiana,Rapides Parish
22081,9091,8442,Louisiana,Red River Parish
22083,20725,20122,Louisiana,Richland Parish
22085,24233,23884,Louisiana,Sabine Parish
22087,35897,47244,Louisiana,St. Bernard Parish
22089,52780,53100,Louisiana,St. Charles Parish
22091,11203,10132,Louisiana,St. Helena Parish
22093,22102,21096,Louisiana,St. James Parish
22095,45924,42837,Louisiana,St. John the Baptist Parish
22097,83384,82124,Louisiana,St. Landry Parish
22099,52160,53431,Louisiana,St. Martin Parish
22101,54650,49348,Louisiana,St. Mary Parish
22103,233740,260419,Louisiana,St. Tammany Parish
22105,121097,134758,Louisiana,Tangipahoa Parish
22107,5252,4334,Louisiana,Tensas Parish
22109,111860,110461,Louisiana,Terrebonne Parish
22111,22721,22108,Louisiana,Union Parish
22113,57999,59511,Louisiana,Vermilion Parish
22115,52334,47429,Louisiana,Vernon Parish
22117,47168,46194,Louisiana,Washington Parish
22119,41207,38340,Louisiana,Webster Parish
22121,23788,26465,Louisiana,West Baton Rouge Parish
22123,11604,10830,Louisiana,West Carroll Parish
22125,15625,15568,Louisiana,West Feliciana Parish
22127,15313,13904,Louisiana,Winn Parish
23001,107702,108277,Maine,Androscoggin County
23003,71870,67055,Maine,Aroostook County
23005,281674,295003,Maine,Cumberland County
23007,30768,30199,Maine,Franklin County
23009,54418,54987,Maine,Hancock County
23011,122151,122302,Maine,Kennebec County
23013,39736,39772,Maine,Knox County
23015,34457,34634,Maine,Lincoln County
23017,57833,57975,Maine,Oxford County
23019,153923,152148,Maine,Penobscot County
23021,17535,16785,Maine,Piscataquis County
23023,35293,35856,Maine,Sagadahoc County
23025,52228,50484,Maine,Somerset County
23027,38786,39715,Maine,Waldo County
23029,32856,31379,Maine,Washington County
23031,197131,207641,Maine,York County
24001,75087,70416,Maryland,Allegany County
24003,537656,579234,Maryland,Anne Arundel County
24005,805029,827370,Maryland,Baltimore County
24009,88737,92525,Maryland,Calvert County
24011,33066,33406,Maryland,Caroline County
24013,167134,168447,Maryland,Carroll County
24015,101108,102855,Maryland,Cecil County
24017,146551,163257,Maryland,Charles County
24019,32618,31929,Maryland,Dorchester County
24021,233385,259547,Maryland,Frederick County
24023,30097,29014,Maryland,Garrett County
24025,244826,255441,Maryland,Harford County
24027,287085,325690,Maryland,Howard County
24029,20197,19422,Maryland,Kent County
24031,971777,1050688,Maryland,Montgomery County
24033,863420,909327,Maryland,Prince George's County
24035,47798,50381,Maryland,Queen Anne's County
24037,105151,113510,Maryland,St. Mary's County
24039,26470,25616,Maryland,Somerset County
24041,37782,37181,Maryland,Talbot County
24043,147430,151049,Maryland,Washington County
24045,98733,103609,Maryland,Wicomico County
24047,51454,52276,Maryland,Worcester County
24510,620961,593490,Maryland,Baltimore city
25001,215888,212990,Massachusetts,Barnstable County
25003,131219,124944,Massachusetts,Berkshire County
25005,548285,565217,Massachusetts,Bristol County
25007,16535,17332,Massachusetts,Dukes County
25009,743159,789034,Massachusetts,Essex County
25011,71372,70180,Massachusetts,Franklin County
25013,463490,466372,Massachusetts,Hampden County
25015,158080,160830,Massachusetts,Hampshire County
25017,1503085,1611699,Massachusetts,Middlesex County
25019,10172,11399,Massachusetts,Nantucket County
25021,670850,706775,Massachusetts,Norfolk County
25023,494919,521202,Massachusetts,Plymouth County
25025,722023,803907,Massachusetts,Suffolk County
25027,798552,830622,Massachusetts,Worcester County
26001,10942,10405,Michigan,Alcona County
26003,9601,9108,Michigan,Alger County
26005,111408,118081,Michigan,Allegan County
26007,29598,28405,Michigan,Alpena County
26009,23580,23324,Michigan,Antrim County
26011,15899,14883,Michigan,Arenac County
26013,8860,8209,Michigan,Baraga County
26015,59173,61550,Michigan,Barry County
26017,107771,103126,Michigan,Bay County
26019,17525,17766,Michigan,Benzie County
26021,156813,153401,Michigan,Berrien County
26023,45248,43517,Michigan,Branch County
26025,136146,134159,Michigan,Calhoun County
26027,52293,51787,Michigan,Cass County
26029,25949,26143,Michigan,Charlevoix County
26031,26152,25276,Michigan,Cheboygan County
26033,38520,37349,Michigan,Chippewa County
26035,30926,30950,Michigan,Clare County
26037,75382,79595,Michigan,Clinton County
26039,14074,14029,Michigan,Crawford County
26041,37069,35784,Michigan,Delta County
26043,26168,25239,Michigan,Dickinson County
26045,107759,110268,Michigan,Eaton County
26047,32694,33415,Michigan,Emmet County
26049,425790,405813,Michigan,Genesee County
26051,25692,25449,Michigan,Gladwin County
26053,16427,13975,Michigan,Gogebic County
26055,86986,93088,Michigan,Grand Traverse County
26057,42476,40711,Michigan,Gratiot County
26059,46688,45605,Michigan,Hillsdale County
26061,36628,35684,Michigan,Houghton County
26063,33118,30981,Michigan,Huron County
26065,280895,292406,Michigan,Ingham County
26067,63905,64697,Michigan,Ionia County
26069,25887,25127,Michigan,Iosco County
26071,11817,11066,Michigan,Iron County
26073,70311,69872,Michigan,Isabella County
26075,160248,158510,Michigan,Jackson County
26077,250331,265066,Michigan,Kalamazoo County
26079,17153,18038,Michigan,Kalkaska County
26081,602622,656955,Michigan,Kent County
26083,2156,2116,Michigan,Keweenaw County
26085,11539,11853,Michigan,Lake County
26087,88319,87607,Michigan,Lapeer County
26089,21708,21761,Michigan,Leelanau County
26091,99892,98451,Michigan,Lenawee County
26093,180967,191995,Michigan,Livingston County
26095,6631,6229,Michigan,Luce County
26097,11113,10799,Michigan,Mackinac County
26099,840978,873972,Michigan,Macomb County
26101,24733,24558,Michigan,Manistee County
26103,67077,66699,Michigan,Marquette County
26105,28705,29144,Michigan,Mason County
26107,42798,43453,Michigan,Mecosta County
26109,24029,22780,Michigan,Menominee County
26111,83629,83156,Michigan,Midland County
26113,14849,15118,Michigan,Missaukee County
26115,152021,150500,Michigan,Monroe County
26117,63342,63888,Michigan,Montcalm County
26119,9765,9328,Michigan,Montmorency County
26121,172188,173566,Michigan,Muskegon County
26123,48460,48980,Michigan,Newaygo County
26125,1202362,1257584,Michigan,Oakland County
26127,26570,26467,Michigan,Oceana County
26129,21699,20997,Michigan,Ogemaw County
26131,6780,5720,Michigan,Ontonagon County
26133,23528,23460,Michigan,Osceola County
26135,8640,8241,Michigan,Oscoda County
26137,24164,24668,Michigan,Otsego County
26139,263801,291830,Michigan,Ottawa County
26141,13376,12592,Michigan,Presque Isle County
26143,24449,24019,Michigan,Roscommon County
26145,200169,190539,Michigan,Saginaw County
26147,163040,159128,Michigan,St. Clair County
26149,61295,60964,Michigan,St. Joseph County
26151,43114,41170,Michigan,Sanilac County
26153,8485,8094,Michigan,Schoolcraft County
26155,70648,68122,Michigan,Shiawassee County
26157,55729,52245,Michigan,Tuscola County
26159,76258,75677,Michigan,Van Buren County
26161,344791,367601,Michigan,Washtenaw County
26163,1820584,1749343,Michigan,Wayne County
26165,32735,33631,Michigan,Wexford County
27001,16202,15886,Minnesota,Aitkin County
27003,330844,356921,Minnesota,Anoka County
27005,32504,34423,Minnesota,Becker County
27007,44442,47188,Minnesota,Beltrami County
27009,38451,40889,Minnesota,Benton County
27011,5269,4991,Minnesota,Big Stone County
27013,64013,67653,Minnesota,Blue Earth County
27015,25893,25008,Minnesota,Brown County
27017,35386,35871,Minnesota,Carlton County
27019,91042,105089,Minnesota,Carver County
27021,28567,29779,Minnesota,Cass County
27023,12441,11800,Minnesota,Chippewa County
27025,53887,56579,Minnesota,Chisago County
27027,58999,64222,Minnesota,Clay County
27029,8695,8818,Minnesota,Clearwater County
27031,5176,5463,Minnesota,Cook County
27033,11687,11196,Minnesota,Cottonwood County
27035,62500,65055,Minnesota,Crow Wing County
27037,398552,429021,Minnesota,Dakota County
27039,20087,20934,Minnesota,Dodge County
27041,36009,38141,Minnesota,Douglas County
27043,14553,13653,Minnesota,Faribault County
27045,20866,21067,Minnesota,Fillmore County
27047,31255,30281,Minnesota,Freeborn County
27049,46183,46340,Minnesota,Goodhue County
27051,6018,5972,Minnesota,Grant County
27053,1152425,1265843,Minnesota,Hennepin County
27055,19027,18600,Minnesota,Houston County
27057,20428,21491,Minnesota,Hubbard County
27059,37816,40596,Minnesota,Isanti County
27061,45058,45130,Minnesota,Itasca County
27063,10266,9846,Minnesota,Jackson County
27065,16239,16337,Minnesota,Kanabec County
27067,42239,43199,Minnesota,Kandiyohi County
27069,4552,4298,Minnesota,Kittson County
27071,13311,12229,Minnesota,Koochiching County
27073,7259,6623,Minnesota,Lac qui Parle County
27075,10866,10641,Minnesota,Lake County
27077,4045,3740,Minnesota,Lake of the Woods County
27079,27703,28887,Minnesota,Le Sueur County
27081,5896,5639,Minnesota,Lincoln County
27083,25857,25474,Minnesota,Lyon County
27085,36651,35893,Minnesota,McLeod County
27087,5413,5527,Minnesota,Mahnomen County
27089,9439,9336,Minnesota,Marshall County
27091,20840,19683,Minnesota,Martin County
27093,23300,23222,Minnesota,Meeker County
27095,26097,26277,Minnesota,Mille Lacs County
27097,33198,33386,Minnesota,Morrison County
27099,39163,40062,Minnesota,Mower County
27101,8725,8194,Minnesota,Murray County
