FIPS,County,State,Population Density (people per square kilometer),Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population
1077,Lauderdale County,Alabama,53.5128223620641,92729.0,4732.0,13314.0,10539.0,21061.0,24076.0,19007.0,18046.0,42955.0,31728.0,44593.0,48435.0
1079,Lawrence County,Alabama,18.5430504610001,32924.0,1834.0,5259.0,2404.0,7659.0,9481.0,6287.0,7093.0,14700.0,11131.0,15985.0,16866.0
1081,Lee County,Alabama,101.227864438246,164542.0,9572.0,25149.0,28964.0,43103.0,37342.0,20412.0,34721.0,91174.0,38647.0,81114.0,83901.0
1083,Limestone County,Alabama,64.1614968844402,98915.0,5474.0,16599.0,7616.0,26410.0,27735.0,15081.0,22073.0,48283.0,28559.0,49558.0,49578.0
1085,Lowndes County,Alabama,5.52043597931141,9726.0,586.0,1553.0,746.0,2226.0,2694.0,1921.0,2139.0,4180.0,3407.0,4581.0,5145.0
1087,Macon County,Alabama,12.0835405513515,18068.0,875.0,2221.0,3091.0,3653.0,4443.0,3785.0,3096.0,8736.0,6236.0,8229.0,9836.0
1089,Madison County,Alabama,172.227500046414,372909.0,21862.0,58852.0,35394.0,98467.0,101198.0,57136.0,80714.0,182000.0,110195.0,182204.0,190343.0
1091,Marengo County,Alabama,7.72210160787143,18863.0,1165.0,3082.0,1504.0,4399.0,4964.0,3749.0,4247.0,8263.0,6353.0,8920.0,9999.0
1093,Marion County,Alabama,15.5852067273234,29709.0,1572.0,4598.0,2223.0,6697.0,8230.0,6389.0,6170.0,13007.0,10532.0,14757.0,15069.0
1095,Marshall County,Alabama,64.921822989232,96774.0,6975.0,17361.0,7676.0,23160.0,24852.0,16750.0,24336.0,43087.0,29351.0,47664.0,49087.0
1097,Mobile County,Alabama,130.229928949949,413210.0,27158.0,69184.0,36438.0,107646.0,104042.0,68742.0,96342.0,193280.0,123588.0,196704.0,216812.0
1099,Monroe County,Alabama,8.09796562551444,20733.0,1058.0,3315.0,1701.0,4507.0,5767.0,4385.0,4373.0,8888.0,7472.0,9841.0,10848.0
1101,Montgomery County,Alabama,111.578217285862,226486.0,15300.0,37588.0,22494.0,60691.0,55132.0,35281.0,52888.0,109918.0,63680.0,106307.0,119767.0
1103,Morgan County,Alabama,79.3822306638455,119679.0,7245.0,20100.0,9301.0,29168.0,32524.0,21341.0,27345.0,54452.0,37882.0,58797.0,60833.0
1105,Perry County,Alabama,5.08932713103056,8923.0,507.0,1360.0,1264.0,1852.0,2145.0,1795.0,1867.0,4102.0,2954.0,4162.0,4778.0
1107,Pickens County,Alabama,8.89134644415793,19930.0,1026.0,2838.0,1671.0,5029.0,5480.0,3886.0,3864.0,9330.0,6736.0,10009.0,9931.0
1109,Pike County,Alabama,19.1899851374734,33114.0,1751.0,4544.0,7422.0,7295.0,7071.0,5031.0,6295.0,18030.0,8789.0,15884.0,17150.0
1111,Randolph County,Alabama,15.013142302193,22722.0,1278.0,3519.0,1909.0,4880.0,6395.0,4741.0,4797.0,9785.0,8140.0,11078.0,11703.0
1113,Russell County,Alabama,35.05587425982,57961.0,4018.0,9969.0,4626.0,16024.0,14735.0,8589.0,13987.0,27871.0,16103.0,27835.0,30263.0
1115,St. Clair County,Alabama,53.3705840032232,89512.0,5200.0,14976.0,6315.0,23409.0,24529.0,15083.0,20176.0,41916.0,27420.0,44382.0,45353.0
1117,Shelby County,Alabama,103.859038845622,217702.0,12283.0,38217.0,17925.0,55818.0,58735.0,34724.0,50500.0,104093.0,63109.0,105311.0,112865.0
1119,Sumter County,Alabama,5.5470144040799,12427.0,713.0,1647.0,2368.0,2420.0,2954.0,2325.0,2360.0,6050.0,4017.0,5647.0,6711.0
1121,Talladega County,Alabama,42.219157364741,79978.0,4273.0,12432.0,6880.0,19706.0,21918.0,14769.0,16705.0,37263.0,26010.0,38657.0,41569.0
1123,Tallapoosa County,Alabama,21.8969584604702,40367.0,2148.0,6085.0,2957.0,8747.0,11443.0,8987.0,8233.0,16956.0,15178.0,19565.0,20772.0
1125,Tuscaloosa County,Alabama,60.2784113409828,209355.0,12532.0,31438.0,33326.0,56052.0,47218.0,28789.0,43970.0,112834.0,52551.0,101165.0,109156.0
1127,Walker County,Alabama,31.480176797023,63521.0,3854.0,10279.0,4865.0,14862.0,17252.0,12409.0,14133.0,27938.0,21450.0,31079.0,32601.0
1129,Washington County,Alabama,5.94877180648605,16326.0,903.0,2701.0,1317.0,3611.0,4575.0,3219.0,3604.0,7100.0,5622.0,7931.0,8348.0
1131,Wilcox County,Alabama,4.69736954024345,10373.0,654.0,1765.0,990.0,2253.0,2606.0,2105.0,2419.0,4465.0,3489.0,4910.0,5486.0
1133,Winston County,Alabama,15.038338282957,23629.0,1264.0,3501.0,1772.0,5105.0,6820.0,5167.0,4765.0,10130.0,8734.0,11657.0,12043.0
2013,Aleutians East Borough,Alaska,0.18931798413723,3337.0,68.0,185.0,297.0,1167.0,1269.0,351.0,253.0,2222.0,862.0,2263.0,1092.0
2016,Aleutians West Census Area,Alaska,0.505471803211635,5634.0,188.0,453.0,450.0,2045.0,2079.0,419.0,641.0,3652.0,1341.0,3764.0,1938.0
2020,Anchorage Municipality,Alaska,67.0002918813575,288000.0,19958.0,49240.0,27859.0,88605.0,68581.0,33757.0,69198.0,150015.0,68787.0,147103.0,141687.0
2050,Bethel Census Area,Alaska,0.171435928666343,18386.0,1976.0,4562.0,1905.0,4841.0,3654.0,1448.0,6538.0,8515.0,3333.0,9600.0,8893.0
2060,Bristol Bay Borough,Alaska,0.712955928457051,836.0,58.0,91.0,73.0,223.0,255.0,136.0,149.0,399.0,288.0,440.0,400.0
2068,Denali Borough,Alaska,0.0681951983542993,2097.0,96.0,303.0,148.0,658.0,654.0,238.0,399.0,1143.0,555.0,1173.0,952.0
2070,Dillingham Census Area,Alaska,0.104785321760152,4916.0,475.0,1070.0,479.0,1301.0,1097.0,494.0,1545.0,2275.0,1096.0,2515.0,2417.0
2090,Fairbanks North Star Borough,Alaska,5.24949098254823,96849.0,7179.0,15825.0,12453.0,30291.0,20273.0,10828.0,23004.0,52461.0,21384.0,52346.0,44742.0
2100,Haines Borough,Alaska,0.415544893969977,2530.0,113.0,343.0,154.0,556.0,816.0,548.0,456.0,1025.0,1049.0,1276.0,1285.0
2105,Hoonah-Angoon Census Area,Alaska,0.125547899224925,2148.0,98.0,285.0,126.0,420.0,703.0,516.0,383.0,833.0,932.0,1148.0,996.0
2110,Juneau City and Borough,Alaska,4.61661018835993,31974.0,1807.0,4942.0,2647.0,9317.0,8800.0,4461.0,6749.0,16169.0,9056.0,16293.0,15745.0
2122,Kenai Peninsula Borough,Alaska,1.40288530686126,58708.0,3483.0,9698.0,4201.0,14527.0,16024.0,10775.0,13181.0,25681.0,19846.0,30732.0,28182.0
2130,Ketchikan Gateway Borough,Alaska,1.0973632644438,13901.0,783.0,2234.0,1045.0,3776.0,3772.0,2291.0,3017.0,6477.0,4407.0,7130.0,6775.0
2150,Kodiak Island Borough,Alaska,0.796616253836105,12998.0,949.0,2292.0,1200.0,3985.0,3096.0,1476.0,3241.0,6582.0,3175.0,7039.0,6170.0
2164,Lake and Peninsula Borough,Alaska,0.0222154125511112,1592.0,157.0,299.0,133.0,420.0,400.0,183.0,456.0,741.0,395.0,806.0,777.0
2170,Matanuska-Susitna Borough,Alaska,1.61641230138181,108317.0,7356.0,21229.0,8555.0,30203.0,27219.0,13755.0,28585.0,51794.0,27938.0,56366.0,52212.0
2180,Nome Census Area,Alaska,0.166814790483156,10004.0,996.0,2464.0,964.0,2730.0,2047.0,803.0,3460.0,4702.0,1842.0,5287.0,4753.0
2185,North Slope Borough,Alaska,0.0425856311115024,9832.0,776.0,1855.0,747.0,2831.0,2887.0,736.0,2631.0,5128.0,2073.0,5770.0,3663.0
2188,Northwest Arctic Borough,Alaska,0.0837655920658693,7621.0,804.0,1955.0,734.0,2047.0,1524.0,557.0,2759.0,3538.0,1324.0,4142.0,3531.0
2195,Petersburg Borough,Alaska,0.433274537534888,3266.0,175.0,486.0,245.0,784.0,906.0,670.0,661.0,1432.0,1173.0,1688.0,1606.0
2198,Prince of Wales-Hyder Census Area,Alaska,0.474963699740084,6203.0,327.0,1055.0,452.0,1441.0,1803.0,1125.0,1382.0,2676.0,2145.0,3406.0,2805.0
2220,Sitka City and Borough,Alaska,1.17552014159081,8493.0,424.0,1329.0,636.0,2487.0,2253.0,1364.0,1753.0,4138.0,2602.0,4353.0,4148.0
2230,Skagway Municipality,Alaska,0.944050024664486,1183.0,56.0,126.0,49.0,448.0,317.0,187.0,182.0,661.0,340.0,631.0,562.0
2240,Southeast Fairbanks Census Area,Alaska,0.106951726969006,6893.0,530.0,1188.0,457.0,1823.0,1817.0,1078.0,1718.0,3141.0,2034.0,3769.0,3110.0
2275,Wrangell City and Borough,Alaska,0.375226755408205,2502.0,106.0,387.0,167.0,476.0,752.0,614.0,493.0,921.0,1088.0,1302.0,1211.0
2282,Yakutat City and Borough,Alaska,0.0348963251396459,579.0,30.0,72.0,43.0,145.0,167.0,122.0,102.0,268.0,209.0,323.0,253.0
2290,Yukon-Koyukuk Census Area,Alaska,0.0143620751775343,5230.0,401.0,1058.0,415.0,1307.0,1227.0,822.0,1459.0,2237.0,1534.0,2754.0,2500.0
4001,Apache County,Arizona,2.4661635471983,71887.0,4833.0,14592.0,6513.0,17402.0,17213.0,11334.0,19425.0,31819.0,20643.0,35508.0,36412.0
4003,Cochise County,Arizona,7.9091600308276,125922.0,7157.0,19816.0,10204.0,29774.0,29853.0,29118.0,26973.0,53154.0,45795.0,64717.0,62531.0
4005,Coconino County,Arizona,2.9077305777695,143476.0,7589.0,21161.0,29622.0,36060.0,30382.0,18662.0,28750.0,79809.0,34917.0,70870.0,73097.0
4007,Gila County,Arizona,4.33330667751936,54018.0,2821.0,7833.0,3373.0,10198.0,13924.0,15869.0,10654.0,18984.0,24380.0,26799.0,27278.0
4009,Graham County,Arizona,3.16377107795328,38837.0,2718.0,7634.0,4006.0,10940.0,8099.0,5440.0,10352.0,19105.0,9380.0,20813.0,18077.0
4011,Greenlee County,Arizona,1.99216003069318,9498.0,755.0,1814.0,849.0,2689.0,2094.0,1297.0,2569.0,4604.0,2325.0,4913.0,4554.0
4012,La Paz County,Arizona,1.77630223819669,21108.0,970.0,2536.0,1182.0,3668.0,4360.0,8392.0,3506.0,6639.0,10963.0,10905.0,10352.0
4013,Maricopa County,Arizona,178.541173990963,4485414.0,276119.0,776319.0,415938.0,1242721.0,1077986.0,696331.0,1052438.0,2214297.0,1218679.0,2220757.0,2271504.0
4015,Mohave County,Arizona,5.97711349615256,212181.0,9150.0,26209.0,12728.0,41128.0,57056.0,65910.0,35359.0,76232.0,100590.0,108032.0,105814.0
4017,Navajo County,Arizona,4.21826164424761,110924.0,7447.0,21673.0,8894.0,25384.0,26697.0,20829.0,29120.0,46147.0,35657.0,55487.0,55550.0
4019,Pima County,Arizona,42.8548311026477,1047279.0,57018.0,158289.0,121421.0,256021.0,241976.0,212554.0,215307.0,490082.0,341890.0,516255.0,533006.0
4021,Pinal County,Arizona,30.2012780665733,462789.0,25339.0,77025.0,36263.0,121389.0,106207.0,96566.0,102364.0,209180.0,151245.0,239496.0,222144.0
4023,Santa Cruz County,Arizona,14.5410811200168,46498.0,3219.0,9156.0,4283.0,10374.0,10875.0,8591.0,12375.0,19904.0,14219.0,22526.0,24202.0
4025,Yavapai County,Arizona,10.677147061634,235099.0,9541.0,27934.0,15067.0,41965.0,64154.0,76438.0,37475.0,81048.0,116576.0,115429.0,120633.0
4027,Yuma County,Arizona,14.5527021726827,213787.0,15112.0,38457.0,23501.0,53407.0,42008.0,41302.0,53569.0,98050.0,62168.0,110295.0,103887.0
5001,Arkansas County,Arkansas,7.07723545354986,17486.0,1133.0,2874.0,1231.0,4085.0,4612.0,3551.0,4007.0,7443.0,6036.0,8454.0,9061.0
5003,Ashley County,Arkansas,8.56899957694753,19657.0,1108.0,3290.0,1481.0,4352.0,5310.0,4116.0,4398.0,8364.0,6895.0,9555.0,10187.0
5005,Baxter County,Arkansas,28.7152710674774,41932.0,1903.0,5567.0,2427.0,7914.0,11063.0,13058.0,7470.0,14886.0,19576.0,20353.0,21625.0
5007,Benton County,Arkansas,117.977455778265,279141.0,19390.0,53264.0,22665.0,81598.0,64322.0,37902.0,72654.0,138354.0,68133.0,139277.0,140558.0
5009,Boone County,Arkansas,24.4020453612755,37432.0,2252.0,6290.0,2702.0,8622.0,9725.0,7841.0,8542.0,15953.0,12937.0,18525.0,19091.0
5011,Bradley County,Arkansas,6.51079736886142,10763.0,646.0,1937.0,775.0,2563.0,2772.0,2070.0,2583.0,4680.0,3500.0,5254.0,5538.0
5013,Calhoun County,Arkansas,3.19537992240791,5189.0,240.0,741.0,384.0,1178.0,1507.0,1139.0,981.0,2245.0,1963.0,2600.0,2537.0
5015,Carroll County,Arkansas,17.0918030867579,28380.0,1577.0,4503.0,2024.0,6057.0,7447.0,6772.0,6080.0,11383.0,10917.0,14078.0,14274.0
5017,Chicot County,Arkansas,6.48720533961788,10118.0,559.0,1658.0,827.0,2147.0,2791.0,2136.0,2217.0,4204.0,3697.0,5137.0,5052.0
5019,Clark County,Arkansas,9.97935794884845,22320.0,1174.0,3064.0,4922.0,4556.0,4851.0,3753.0,4238.0,11781.0,6301.0,10622.0,11743.0
5021,Clay County,Arkansas,9.09362902300879,14551.0,828.0,2258.0,1103.0,3291.0,3889.0,3182.0,3086.0,6246.0,5219.0,7096.0,7398.0
5023,Cleburne County,Arkansas,17.5920794960845,24919.0,1118.0,3579.0,1536.0,5041.0,6855.0,6790.0,4697.0,9535.0,10687.0,12327.0,12692.0
5025,Cleveland County,Arkansas,5.31308376264506,7956.0,416.0,1300.0,562.0,1760.0,2213.0,1705.0,1716.0,3353.0,2887.0,3904.0,4033.0
5027,Columbia County,Arkansas,12.0430090148183,23457.0,1336.0,3504.0,4137.0,4974.0,5346.0,4160.0,4840.0,11607.0,7010.0,11307.0,12189.0
5029,Conway County,Arkansas,14.6161703137298,20846.0,1249.0,3456.0,1477.0,4826.0,5725.0,4113.0,4705.0,8909.0,7232.0,10281.0,10624.0
5031,Craighead County,Arkansas,57.701239773158,110332.0,7760.0,19816.0,11686.0,31116.0,24530.0,15424.0,27576.0,55192.0,27564.0,53756.0,57016.0
5033,Crawford County,Arkansas,40.7996871120115,63257.0,4024.0,11372.0,4871.0,15628.0,16513.0,10849.0,15396.0,28514.0,19347.0,31259.0,32147.0
5035,Crittenden County,Arkansas,31.0060680601584,47955.0,3700.0,9272.0,4241.0,12079.0,11703.0,6960.0,12972.0,21985.0,12998.0,22770.0,25154.0
5037,Cross County,Arkansas,10.6475618813098,16419.0,996.0,2810.0,1233.0,3955.0,4258.0,3167.0,3806.0,7204.0,5409.0,7938.0,8395.0
5039,Dallas County,Arkansas,4.2996258215917,7009.0,374.0,1097.0,471.0,1491.0,1866.0,1710.0,1471.0,2769.0,2769.0,3423.0,3528.0
5041,Desha County,Arkansas,5.97498329534256,11361.0,728.0,2142.0,867.0,2515.0,2882.0,2227.0,2870.0,4625.0,3866.0,5333.0,6067.0
5043,Drew County,Arkansas,8.62389556526047,18219.0,1115.0,2820.0,2477.0,4224.0,4267.0,3316.0,3935.0,8682.0,5602.0,8828.0,9264.0
5045,Faulkner County,Arkansas,72.9467914658334,126007.0,7589.0,21142.0,18780.0,33749.0,28552.0,16195.0,28731.0,66995.0,30281.0,61409.0,64419.0
5047,Franklin County,Arkansas,11.2751845642444,17715.0,982.0,2977.0,1425.0,4083.0,4714.0,3534.0,3959.0,7717.0,6039.0,8857.0,8880.0
5049,Fulton County,Arkansas,7.58160811844068,12477.0,674.0,1960.0,832.0,2378.0,3384.0,3249.0,2634.0,4698.0,5145.0,6173.0,6343.0
5051,Garland County,Arkansas,55.9998517852055,99386.0,5325.0,14486.0,7075.0,22297.0,26059.0,24144.0,19811.0,41111.0,38464.0,47876.0,51596.0
5053,Grant County,Arkansas,11.0524158192483,18265.0,980.0,3040.0,1385.0,4545.0,4943.0,3372.0,4020.0,8331.0,5914.0,9022.0,9265.0
5055,Greene County,Arkansas,29.8241054091558,45325.0,2989.0,8028.0,3727.0,11746.0,11463.0,7372.0,11017.0,21385.0,12923.0,22296.0,23020.0
5057,Hempstead County,Arkansas,11.6851730245058,21532.0,1498.0,4042.0,1687.0,4809.0,5514.0,3982.0,5540.0,9017.0,6975.0,10420.0,11148.0
5059,Hot Spring County,Arkansas,21.0370307484283,33771.0,1720.0,5243.0,2611.0,8547.0,9119.0,6531.0,6963.0,15541.0,11267.0,17669.0,16115.0
5061,Howard County,Arkansas,8.78324092031978,13202.0,938.0,2515.0,1024.0,3046.0,3293.0,2386.0,3453.0,5617.0,4132.0,6378.0,6841.0
5063,Independence County,Arkansas,18.8332181709132,37825.0,2514.0,6747.0,3257.0,8981.0,9535.0,6791.0,9261.0,16873.0,11691.0,18496.0,19323.0
5065,Izard County,Arkansas,9.01718938852684,13629.0,565.0,1883.0,950.0,2894.0,3779.0,3558.0,2448.0,5584.0,5597.0,7069.0,6551.0
5067,Jackson County,Arkansas,10.4911935334858,16719.0,952.0,2409.0,1287.0,4694.0,4322.0,3055.0,3361.0,8056.0,5302.0,8344.0,8438.0
5069,Jefferson County,Arkansas,31.2545147992963,66824.0,3974.0,10547.0,6827.0,16359.0,17103.0,12014.0,14521.0,31192.0,21111.0,33187.0,33950.0
5071,Johnson County,Arkansas,15.3829203617191,26578.0,1731.0,4787.0,2492.0,6452.0,6631.0,4485.0,6518.0,12109.0,7951.0,13157.0,13439.0
5073,Lafayette County,Arkansas,5.05379689323219,6624.0,330.0,893.0,460.0,1407.0,1897.0,1637.0,1223.0,2677.0,2724.0,3242.0,3414.0
5075,Lawrence County,Arkansas,10.9528948256261,16406.0,1007.0,2627.0,1518.0,3775.0,4211.0,3268.0,3634.0,7261.0,5511.0,8067.0,8373.0
5077,Lee County,Arkansas,6.02134153344286,8857.0,462.0,1169.0,694.0,2451.0,2294.0,1787.0,1631.0,4310.0,2916.0,5007.0,3882.0
5079,Lincoln County,Arkansas,9.41600591939292,13024.0,518.0,1601.0,1340.0,4118.0,3377.0,2070.0,2119.0,7254.0,3651.0,7964.0,5048.0
5081,Little River County,Arkansas,9.0075425884187,12259.0,708.0,2044.0,871.0,2830.0,3239.0,2567.0,2752.0,5237.0,4270.0,5977.0,6391.0
5083,Logan County,Arkansas,11.8629638442172,21466.0,1243.0,3326.0,1598.0,4851.0,6052.0,4396.0,4569.0,9374.0,7523.0,10694.0,10801.0
5085,Lonoke County,Arkansas,36.1639717692876,73309.0,4762.0,13855.0,5905.0,20263.0,18408.0,10116.0,18617.0,35538.0,19154.0,36100.0,37548.0
5087,Madison County,Arkansas,7.44015438511027,16576.0,1049.0,2800.0,1221.0,3829.0,4466.0,3211.0,3849.0,7100.0,5627.0,8265.0,8254.0
5089,Marion County,Arkansas,10.6318471099612,16694.0,780.0,2254.0,885.0,3018.0,4899.0,4858.0,3034.0,5828.0,7832.0,8185.0,8460.0
5091,Miller County,Arkansas,27.0012527090477,43257.0,2756.0,7314.0,3483.0,11175.0,11089.0,7440.0,10070.0,20116.0,13071.0,21340.0,22030.0
5093,Mississippi County,Arkansas,18.3628578105964,40651.0,2942.0,7666.0,3611.0,10176.0,10140.0,6116.0,10608.0,18546.0,11497.0,19851.0,20866.0
5095,Monroe County,Arkansas,4.60991267149704,6701.0,399.0,974.0,477.0,1342.0,1897.0,1612.0,1373.0,2623.0,2705.0,3163.0,3560.0
5097,Montgomery County,Arkansas,4.45236901326667,8986.0,465.0,1198.0,595.0,1623.0,2679.0,2426.0,1663.0,3397.0,3926.0,4495.0,4552.0
5099,Nevada County,Arkansas,5.27436382601417,8252.0,516.0,1369.0,580.0,1797.0,2258.0,1732.0,1885.0,3426.0,2941.0,4058.0,4147.0
5101,Newton County,Arkansas,3.69118925414889,7753.0,398.0,1098.0,498.0,1540.0,2107.0,2112.0,1496.0,2920.0,3337.0,3897.0,3815.0
5103,Ouachita County,Arkansas,12.7014153173494,23382.0,1349.0,3865.0,1704.0,5122.0,6409.0,4933.0,5214.0,9597.0,8571.0,11086.0,12286.0
5105,Perry County,Arkansas,7.22554351013243,10455.0,636.0,1722.0,769.0,2283.0,2903.0,2142.0,2358.0,4461.0,3636.0,5188.0,5229.0
5107,Phillips County,Arkansas,10.564647735084,17782.0,1349.0,3227.0,1516.0,3766.0,4456.0,3468.0,4576.0,7197.0,6009.0,8316.0,9453.0
5109,Pike County,Arkansas,6.94773718149417,10718.0,563.0,1749.0,835.0,2375.0,3001.0,2195.0,2312.0,4662.0,3744.0,5335.0,5370.0
5111,Poinsett County,Arkansas,12.2465242873351,23528.0,1541.0,4038.0,1858.0,5593.0,6177.0,4321.0,5579.0,10490.0,7459.0,11398.0,12104.0
5113,Polk County,Arkansas,9.07677870323286,19964.0,1123.0,3417.0,1414.0,4112.0,5181.0,4717.0,4540.0,7879.0,7545.0,9758.0,10186.0
5115,Pope County,Arkansas,30.2430486280974,64072.0,4012.0,10499.0,7907.0,15904.0,15389.0,10361.0,14511.0,31341.0,18220.0,31801.0,32344.0
5117,Prairie County,Arkansas,4.91293433526316,8062.0,430.0,1220.0,543.0,1685.0,2256.0,1928.0,1650.0,3277.0,3135.0,4034.0,4059.0
