FIPS,County,State,Population,Population Density
1001,Autauga County,Alabama,55869,36.287947
1003,Baldwin County,Alabama,223234,54.215293
1005,Barbour County,Alabama,24686,10.769826
1007,Bibb County,Alabama,22394,13.890616
1009,Blount County,Alabama,57826,34.624193
1011,Bullock County,Alabama,10101,6.262015
1013,Butler County,Alabama,19448,9.665992
1015,Calhoun County,Alabama,113605,72.397241
1017,Chambers County,Alabama,33254,21.522432
1019,Cherokee County,Alabama,26196,18.272582
1021,Chilton County,Alabama,44428,24.758188
1023,Choctaw County,Alabama,12589,5.321087
1025,Clarke County,Alabama,23622,7.364628
1027,Clay County,Alabama,13235,8.460914
1029,Cleburne County,Alabama,14910,10.278052
1031,Coffee County,Alabama,52342,29.764025
1033,Colbert County,Alabama,55241,35.982879
1035,Conecuh County,Alabama,12067,5.479999
1037,Coosa County,Alabama,10663,6.324996
1039,Covington County,Alabama,37049,13.880558
1041,Crenshaw County,Alabama,13772,8.733299
1043,Cullman County,Alabama,83768,44.017229
1045,Dale County,Alabama,49172,33.836012
1047,Dallas County,Alabama,37196,14.673444
1049,DeKalb County,Alabama,71513,35.531294
1051,Elmore County,Alabama,81209,50.699567
1053,Escambia County,Alabama,36633,14.963757
1055,Etowah County,Alabama,102268,73.766552
1057,Fayette County,Alabama,16302,10.027722
1059,Franklin County,Alabama,31362,19.101723
1061,Geneva County,Alabama,26271,17.656456
1063,Greene County,Alabama,8111,4.840128
1065,Hale County,Alabama,14651,8.784062
1067,Henry County,Alabama,17205,11.825339
1069,Houston County,Alabama,105882,70.500833
1071,Jackson County,Alabama,51626,18.490860
1073,Jefferson County,Alabama,658573,228.793108
1075,Lamar County,Alabama,13805,8.812389
1077,Lauderdale County,Alabama,92729,53.596052
1079,Lawrence County,Alabama,32924,18.404974
1081,Lee County,Alabama,164542,104.567449
1083,Limestone County,Alabama,98915,68.204170
1085,Lowndes County,Alabama,9726,5.245385
1087,Macon County,Alabama,18068,11.458246
1089,Madison County,Alabama,372909,179.620720
1091,Marengo County,Alabama,18863,7.455318
1093,Marion County,Alabama,29709,15.452058
1095,Marshall County,Alabama,96774,66.033365
1097,Mobile County,Alabama,413210,129.774849
1099,Monroe County,Alabama,20733,7.804719
1101,Montgomery County,Alabama,226486,111.354511
1103,Morgan County,Alabama,119679,79.753412
1105,Perry County,Alabama,8923,4.787272
1107,Pickens County,Alabama,19930,8.730148
1109,Pike County,Alabama,33114,19.023955
1111,Randolph County,Alabama,22722,15.111572
1113,Russell County,Alabama,57961,34.904120
1115,St. Clair County,Alabama,89512,54.719123
1117,Shelby County,Alabama,217702,107.025530
1119,Sumter County,Alabama,12427,5.308644
1121,Talladega County,Alabama,79978,41.911547
1123,Tallapoosa County,Alabama,40367,21.752006
1125,Tuscaloosa County,Alabama,209355,61.196854
1127,Walker County,Alabama,63521,31.005726
1129,Washington County,Alabama,16326,5.835465
1131,Wilcox County,Alabama,10373,4.507893
1133,Winston County,Alabama,23629,14.883388
2013,Aleutians East Borough,Alaska,3337,0.184454
2016,Aleutians West Census Area,Alaska,5634,0.495274
2020,Anchorage Municipality,Alaska,288000,65.164816
2050,Bethel Census Area,Alaska,18386,0.174724
2060,Bristol Bay Borough,Alaska,836,0.669698
2068,Denali Borough,Alaska,2097,0.064070
2070,Dillingham Census Area,Alaska,4916,0.103543
2090,Fairbanks North Star Borough,Alaska,96849,5.101783
2100,Haines Borough,Alaska,2530,0.417525
2105,Hoonah-Angoon Census Area,Alaska,2148,0.126490
2110,Juneau City and Borough,Alaska,31974,4.565775
2122,Kenai Peninsula Borough,Alaska,58708,1.414644
2130,Ketchikan Gateway Borough,Alaska,13901,1.105074
2150,Kodiak Island Borough,Alaska,12998,0.758621
2158,Kusilvak Census Area,Alaska,8314,0.188009
2164,Lake and Peninsula Borough,Alaska,1592,0.025721
2170,Matanuska-Susitna Borough,Alaska,108317,1.692230
2180,Nome Census Area,Alaska,10004,0.168143
2185,North Slope Borough,Alaska,9832,0.042738
2188,Northwest Arctic Borough,Alaska,7621,0.082542
2195,Petersburg Borough,Alaska,3266,0.434739
2198,Prince of Wales-Hyder Census Area,Alaska,6203,0.455082
2220,Sitka City and Borough,Alaska,8493,1.142560
2230,Skagway Municipality,Alaska,1183,1.052602
2240,Southeast Fairbanks Census Area,Alaska,6893,0.107216
2261,Valdez-Cordova Census Area,Alaska,9202,0.103820
2275,Wrangell City and Borough,Alaska,2502,0.377946
2282,Yakutat City and Borough,Alaska,579,0.029325
2290,Yukon-Koyukuk Census Area,Alaska,5230,0.013871
4001,Apache County,Arizona,71887,2.478749
4003,Cochise County,Arizona,125922,7.886800
4005,Coconino County,Arizona,143476,2.975314
4007,Gila County,Arizona,54018,4.383456
4009,Graham County,Arizona,38837,3.243786
4011,Greenlee County,Arizona,9498,1.990902
4012,La Paz County,Arizona,21108,1.811226
4013,Maricopa County,Arizona,4485414,188.257513
4015,Mohave County,Arizona,212181,6.154544
4017,Navajo County,Arizona,110924,4.304369
4019,Pima County,Arizona,1047279,44.012941
4021,Pinal County,Arizona,462789,33.300262
4023,Santa Cruz County,Arizona,46498,14.514236
4025,Yavapai County,Arizona,235099,11.174015
4027,Yuma County,Arizona,213787,14.969896
5001,Arkansas County,Arkansas,17486,6.828103
5003,Ashley County,Arkansas,19657,8.201822
5005,Baxter County,Arkansas,41932,29.211983
5007,Benton County,Arkansas,279141,127.161731
5009,Boone County,Arkansas,37432,24.496282
5011,Bradley County,Arkansas,10763,6.400778
5013,Calhoun County,Arkansas,5189,3.187395
5015,Carroll County,Arkansas,28380,17.393960
5017,Chicot County,Arkansas,10118,6.062954
5019,Clark County,Arkansas,22320,9.950381
5021,Clay County,Arkansas,14551,8.785698
5023,Cleburne County,Arkansas,24919,17.375229
5025,Cleveland County,Arkansas,7956,5.138694
5027,Columbia County,Arkansas,23457,11.823743
5029,Conway County,Arkansas,20846,14.574222
5031,Craighead County,Arkansas,110332,60.229262
5033,Crawford County,Arkansas,63257,41.312361
5035,Crittenden County,Arkansas,47955,30.336768
5037,Cross County,Arkansas,16419,10.284876
5039,Dallas County,Arkansas,7009,4.054908
5041,Desha County,Arkansas,11361,5.710590
5043,Drew County,Arkansas,18219,8.491988
5045,Faulkner County,Arkansas,126007,75.086642
5047,Franklin County,Arkansas,17715,11.233965
5049,Fulton County,Arkansas,12477,7.792711
5051,Garland County,Arkansas,99386,56.620832
5053,Grant County,Arkansas,18265,11.161803
5055,Greene County,Arkansas,45325,30.293292
5057,Hempstead County,Arkansas,21532,11.427248
5059,Hot Spring County,Arkansas,33771,21.194557
5061,Howard County,Arkansas,13202,8.660568
5063,Independence County,Arkansas,37825,19.116747
5065,Izard County,Arkansas,13629,9.063742
5067,Jackson County,Arkansas,16719,10.183005
5069,Jefferson County,Arkansas,66824,29.656817
5071,Johnson County,Arkansas,26578,15.550845
5073,Lafayette County,Arkansas,6624,4.841121
5075,Lawrence County,Arkansas,16406,10.780082
5077,Lee County,Arkansas,8857,5.674720
5079,Lincoln County,Arkansas,13024,8.954659
5081,Little River County,Arkansas,12259,8.892926
5083,Logan County,Arkansas,21466,11.704297
5085,Lonoke County,Arkansas,73309,36.716403
5087,Madison County,Arkansas,16576,7.671560
5089,Marion County,Arkansas,16694,10.797424
5091,Miller County,Arkansas,43257,26.691496
5093,Mississippi County,Arkansas,40651,17.428230
5095,Monroe County,Arkansas,6701,4.261419
5097,Montgomery County,Arkansas,8986,4.448903
5099,Nevada County,Arkansas,8252,5.156878
5101,Newton County,Arkansas,7753,3.646507
5103,Ouachita County,Arkansas,23382,12.319941
5105,Perry County,Arkansas,10455,7.318645
5107,Phillips County,Arkansas,17782,9.869737
5109,Pike County,Arkansas,10718,6.889882
5111,Poinsett County,Arkansas,23528,11.978724
5113,Polk County,Arkansas,19964,8.987195
5115,Pope County,Arkansas,64072,30.446430
5117,Prairie County,Arkansas,8062,4.804473
5119,Pulaski County,Arkansas,391911,199.387000
5121,Randolph County,Arkansas,17958,10.630745
5123,St. Francis County,Arkansas,24994,15.201937
5125,Saline County,Arkansas,122437,65.335374
5127,Scott County,Arkansas,10281,4.448601
5129,Searcy County,Arkansas,7881,4.568227
5131,Sebastian County,Arkansas,127827,92.789522
5133,Sevier County,Arkansas,17007,11.619336
5135,Sharp County,Arkansas,17442,11.141768
5137,Stone County,Arkansas,12506,7.962666
5139,Union County,Arkansas,38682,14.371613
5141,Van Buren County,Arkansas,16545,9.000651
5143,Washington County,Arkansas,239187,98.035342
5145,White County,Arkansas,78753,29.376108
5147,Woodruff County,Arkansas,6320,4.158652
5149,Yell County,Arkansas,21341,8.858695
6001,Alameda County,California,1671329,875.225565
6003,Alpine County,California,1129,0.590391
6005,Amador County,California,39752,25.814100
6007,Butte County,California,219186,51.713860
6009,Calaveras County,California,45905,17.376218
6011,Colusa County,California,21547,7.229729
6013,Contra Costa County,California,1153526,621.099222
6015,Del Norte County,California,27812,10.671812
6017,El Dorado County,California,192843,43.597182
6019,Fresno County,California,999101,64.744659
6021,Glenn County,California,28393,8.343127
6023,Humboldt County,California,135558,14.668354
6025,Imperial County,California,181215,16.752343
6027,Inyo County,California,18039,0.684112
6029,Kern County,California,900202,42.739650
6031,Kings County,California,152940,42.472906
6033,Lake County,California,64386,19.784509
6035,Lassen County,California,30573,2.599388
6037,Los Angeles County,California,10039107,955.134668
6039,Madera County,California,157327,28.425993
6041,Marin County,California,258826,192.010725
6043,Mariposa County,California,17203,4.584444
6045,Mendocino County,California,86749,9.552354
6047,Merced County,California,277680,55.388656
6049,Modoc County,California,8841,0.871811
6051,Mono County,California,14444,1.829086
6053,Monterey County,California,434061,51.068301
6055,Napa County,California,137744,71.071148
6057,Nevada County,California,99755,40.214267
6059,Orange County,California,3175692,1546.632295
6061,Placer County,California,398329,109.301166
6063,Plumas County,California,18807,2.844201
6065,Riverside County,California,2470546,132.363196
6067,Sacramento County,California,1552058,620.701318
6069,San Benito County,California,62808,17.463203
6071,San Bernardino County,California,2180085,41.961108
6073,San Diego County,California,3338330,306.250562
6075,San Francisco County,California,881549,7262.978817
6077,San Joaquin County,California,762148,211.340095
6079,San Luis Obispo County,California,283111,33.117774
6081,San Mateo County,California,766573,659.723726
6083,Santa Barbara County,California,446499,63.029427
6085,Santa Clara County,California,1927852,576.528614
6087,Santa Cruz County,California,273213,236.985851
6089,Shasta County,California,180080,18.416421
6091,Sierra County,California,3005,1.217243
6093,Siskiyou County,California,43539,2.677357
6095,Solano County,California,447643,210.326171
6097,Sonoma County,California,494336,121.116520
6099,Stanislaus County,California,550660,142.118173
6101,Sutter County,California,96971,62.139128
6103,Tehama County,California,65084,8.520824
6105,Trinity County,California,12285,1.491936
6107,Tulare County,California,466195,37.310276
6109,Tuolumne County,California,54478,9.471010
6111,Ventura County,California,846006,177.286592
6113,Yolo County,California,220500,83.899488
6115,Yuba County,California,78668,48.058730
8001,Adams County,Colorado,517421,171.297830
8003,Alamosa County,Colorado,16233,8.673949
8005,Arapahoe County,Colorado,656590,317.710101
8007,Archuleta County,Colorado,14029,4.012058
8009,Baca County,Colorado,3581,0.541149
8011,Bent County,Colorado,5577,1.423338
8013,Boulder County,Colorado,326196,173.389518
8014,Broomfield County,Colorado,70465,824.356487
8015,Chaffee County,Colorado,20356,7.755507
8017,Cheyenne County,Colorado,1831,0.397550
8019,Clear Creek County,Colorado,9700,9.476712
8021,Conejos County,Colorado,8205,2.460679
8023,Costilla County,Colorado,3887,1.222538
8025,Crowley County,Colorado,6061,2.971912
8027,Custer County,Colorado,5068,2.649198
8029,Delta County,Colorado,31162,10.534482
8031,Denver County,Colorado,727211,1831.651798
8033,Dolores County,Colorado,2055,0.743499
8035,Douglas County,Colorado,351154,161.358297
8037,Eagle County,Colorado,55127,12.635804
